district,zone_name,latitude,longitude,hour,day_of_week,incident_count,unique_article_count,avg_severity,max_severity,total_incident_score,sexual_violence_count,murder_count,kidnapping_count,violence_count,robbery_count,harassment_count,suspicious_activity_count,incident_risk_score,street_lamp_count_500m,primary_road_count_500m,secondary_road_count_500m,tertiary_road_count_500m,residential_road_count_500m,service_road_count_500m,footway_path_count_500m,pedestrian_road_count_500m,unclassified_road_count_500m,bus_station_count_500m,rail_station_count_500m,market_count_500m,shop_count_500m,school_college_count_500m,hospital_count_500m,police_count_3km,nearest_police_distance_km,light_score,road_quality,alley_density,transport_hub_score,public_place_density,police_distance_risk,environmental_risk_score,base_risk_score,base_risk_level,risk_score,risk_level,sample_weight
Bagerhat,Fakirhat,22.77852,89.70579,2,0,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,37.1,low,2.218
Bagerhat,Fakirhat,22.77852,89.70579,2,2,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,37.1,low,2.218
Bagerhat,Fakirhat,22.77852,89.70579,2,4,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,41.1,medium,2.517
Bagerhat,Fakirhat,22.77852,89.70579,2,5,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,41.1,medium,2.517
Bagerhat,Fakirhat,22.77852,89.70579,8,0,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,25.1,low,1.618
Bagerhat,Fakirhat,22.77852,89.70579,8,2,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,25.1,low,1.618
Bagerhat,Fakirhat,22.77852,89.70579,8,4,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,29.1,low,1.918
Bagerhat,Fakirhat,22.77852,89.70579,8,5,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,29.1,low,1.918
Bagerhat,Fakirhat,22.77852,89.70579,14,0,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,25.1,low,1.618
Bagerhat,Fakirhat,22.77852,89.70579,14,2,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,25.1,low,1.618
Bagerhat,Fakirhat,22.77852,89.70579,14,4,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,29.1,low,1.918
Bagerhat,Fakirhat,22.77852,89.70579,14,5,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,29.1,low,1.918
Bagerhat,Fakirhat,22.77852,89.70579,19,0,1,1,2.0,2,4.0,0,0,0,0,0,0,1,21.5,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5,25.1,low,33.1,low,2.018
