source,url,title,published_at,district,zone_name,latitude,longitude,incident_type,victim_age,severity,article_hour,article_day_of_week,matched_alias,match_score,match_type
Daily Star,https://www.thedailystar.net/news/crime-justice/news/bcl-activist-held-over-torture-extortion-ju-student-4198566,"BCL activist held over torture, extortion of JU student",2026-06-12T08:00:00,Mymensingh,Charpara,24.742,90.407,violence,,4,8,4,charpara,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/bcl-activist-held-over-torture-extortion-ju-student-4198566,"BCL activist held over torture, extortion of JU student",2026-06-12T08:00:00,Netrokona,Purbadhala,24.94077,90.60025,violence,,4,8,4,purbadhala,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/bcl-activist-held-over-torture-extortion-ju-student-4198566,"BCL activist held over torture, extortion of JU student",2026-06-12T08:00:00,Netrokona,Mokterpara,24.871384,90.732886,violence,,4,8,4,netrokona,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-arrested-over-shooting-listed-criminal-kailla-palash-4198471,Man arrested over shooting of listed criminal ‘Kailla Palash’,2026-06-12T08:00:00,Dhaka,Rampura,23.7639,90.4217,murder,15.0,5,8,4,rampura bridge,4,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-arrested-over-shooting-listed-criminal-kailla-palash-4198471,Man arrested over shooting of listed criminal ‘Kailla Palash’,2026-06-12T08:00:00,Dhaka,Badda,23.7801,90.426,murder,15.0,5,8,4,badda,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-arrested-over-shooting-listed-criminal-kailla-palash-4198471,Man arrested over shooting of listed criminal ‘Kailla Palash’,2026-06-12T08:00:00,Dhaka,Tejgaon,23.7631,90.4003,murder,15.0,5,8,4,tejgaon,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/ex-brur-vc-kalimullah-secures-permanent-bail-graft-case-4198426,Ex-BRUR VC Kalimullah secures permanent bail in graft case,2026-06-12T08:00:00,Dhaka,Mohammadpur,23.7657,90.3589,suspicious_activity,,2,8,4,mohammadpur,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/ramisa-rape-murder-sohel-swapna-challenge-death-penalty-4198421,"Ramisa rape-murder: Sohel, Swapna challenge death penalty",2026-06-12T08:00:00,Dhaka,Sadarghat,23.7104,90.4074,sexual_violence,15.0,5,8,4,Dhaka,0,district_fallback
Daily Star,https://www.thedailystar.net/news/crime-justice/news/ex-igp-benazir-ahmed-arrested-dubai-4198411,Ex-IGP Benazir Ahmed arrested in Dubai,2026-06-12T08:00:00,Gopalganj,Bhatiapara,23.01018,89.83278,suspicious_activity,,2,8,4,gopalganj,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/ex-igp-benazir-ahmed-arrested-dubai-4198411,Ex-IGP Benazir Ahmed arrested in Dubai,2026-06-12T08:00:00,Gopalganj,Kashiani,23.01018,89.83278,suspicious_activity,,2,8,4,gopalganj,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/ex-igp-benazir-ahmed-arrested-dubai-4198411,Ex-IGP Benazir Ahmed arrested in Dubai,2026-06-12T08:00:00,Gopalganj,Kotalipara,23.01018,89.83278,suspicious_activity,,2,8,4,gopalganj,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/two-injured-one-bullet-wounds-khulna-mosque-attack-4198341,"Two injured, one with bullet wounds, in Khulna mosque attack",2026-06-12T08:00:00,Khulna,Khulna Medical College,22.828592,89.537411,violence,,5,8,4,khulna medical college,6,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/two-injured-one-bullet-wounds-khulna-mosque-attack-4198341,"Two injured, one with bullet wounds, in Khulna mosque attack",2026-06-12T08:00:00,Khulna,Daulatpur Khulna,22.837283,89.540056,violence,,5,8,4,daulatpur khulna,5,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/two-injured-one-bullet-wounds-khulna-mosque-attack-4198341,"Two injured, one with bullet wounds, in Khulna mosque attack",2026-06-12T08:00:00,Khulna,Khalishpur,22.85308,89.54427,violence,,5,8,4,khulna,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/idols-hindu-deities-vandalised-three-temples-bogura-4198316,Idols of Hindu deities vandalised at three temples in Bogura,2026-06-12T08:00:00,Bogura,Satmatha,25.733988,89.286492,suspicious_activity,,2,8,4,bogura,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/idols-hindu-deities-vandalised-three-temples-bogura-4198316,Idols of Hindu deities vandalised at three temples in Bogura,2026-06-12T08:00:00,Bogura,Charmatha,24.85098,89.37108,suspicious_activity,,2,8,4,bogura,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/idols-hindu-deities-vandalised-three-temples-bogura-4198316,Idols of Hindu deities vandalised at three temples in Bogura,2026-06-12T08:00:00,Bogura,Dhunat,24.85098,89.37108,suspicious_activity,,2,8,4,bogura,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/mother-teenage-daughter-stabbed-death-chattogram-house-4198301,"Mother, teenage daughter stabbed to death in Chattogram house",2026-06-12T08:00:00,Chattogram,GEC Circle,22.3597,91.8215,violence,16.0,5,8,4,Chattogram,0,district_fallback
Daily Star,https://www.thedailystar.net/news/crime-justice/news/shibir-leader-held-rape-forced-abortion-case-4198196,"Shibir leader held in rape, forced abortion case",2026-06-12T08:00:00,Cumilla,Daudkandi,23.53546,90.71255,sexual_violence,,5,8,4,daudkandi,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/shibir-leader-held-rape-forced-abortion-case-4198196,"Shibir leader held in rape, forced abortion case",2026-06-12T08:00:00,Cumilla,Kandirpar,23.46186,91.18504,sexual_violence,,5,8,4,cumilla,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/shibir-leader-held-rape-forced-abortion-case-4198196,"Shibir leader held in rape, forced abortion case",2026-06-12T08:00:00,Cumilla,Burichang,23.5534,91.12901,sexual_violence,,5,8,4,cumilla,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/mob-beats-man-death-barguna-4198186,Mob beats man to death in Barguna,2026-06-12T08:00:00,Barguna,Barguna General Hospital,22.156377,90.127931,violence,,5,8,4,barguna general hospital,6,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/mob-beats-man-death-barguna-4198186,Mob beats man to death in Barguna,2026-06-12T08:00:00,Barguna,Barguna Sadar,22.15672,90.11758,violence,,5,8,4,barguna sadar,5,zone_alias
