source,url,title,body,published_at,published_at_from_listing,published_at_final
Daily Star,https://www.thedailystar.net/news/crime-justice/news/bcl-activist-held-over-torture-extortion-ju-student-4198566,"BCL activist held over torture, extortion of JU student","Police on Saturday night arrested an activist of the banned Bangladesh Chhatra League for allegedly torturing and extorting money from a Jahangirnagar University student in Netrokona’s Purbadhala upazila. The arrestee is Shishir Ahmed Talukder Ratul, 22, a resident of Shaldigha village of Purbadhala upazila and member of Purbadhala upazila unit of BCL, said Abdullah Al Mamun, officer-in-charge (OC) of Purbadhala Police Station. The victim, Sharif Hossain, 21 -- a student of the 54th batch in the Department of Drama and Dramatics at Jahangirnagar University -- is from Shunai village in Atpara upazila of Netrokona. OC Mamun also said a police team arrested Shishir from Charpara in Mymensingh on Saturday night after the victim filed a case with the police station against unidentified accused, said the OC. The accused was produced before the court this afternoon with a seven-day remand petition, said the OC, adding that police operations are continuing to identify and arrest the other accomplices involved in the incident. According to the case statement, Sharif boarded a CNG-run auto-rickshaw from Netrokona town on the evening of June 10 for the new bypass area. After mistakenly getting off in Shaldigha, he was walking towards Trimohini when two men intercepted him near the Shaldigha Eidgah Maidan. The assailants allegedly beat him and took him to a secluded location, where another person joined them. The three then physically tortured him and snatched Tk 4,560 in cash, according to the complaint. The perpetrators also allegedly transferred Tk 10,000 from the victim's bKash account using his mobile phone and took a Tk 1,500 loan from the same account. They also snatched his smartphone, valued at around Tk 22,000. Investigation sources said that during the torture, the victim was forced to chant abusive and coerced political slogans and statements. A video of the incident later spread on social media, triggering a widespread reaction. Following the case, police launched an investigation and identified Shishir as the prime accused.",2026-06-12T08:00:00,"14 June 2026, 0:00 AM",2026-06-12T08:00:00
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-arrested-over-shooting-listed-criminal-kailla-palash-4198471,Man arrested over shooting of listed criminal ‘Kailla Palash’,"Police have arrested a man over his alleged involvement in the attempted murder of listed top criminal Yasin Khan , widely known as ""Kailla Palash"", in Dhaka’s Rampura area. Imam, 27, was arrested from the capital’s Badda area today, said Ibne Mizan, deputy commissioner of Dhaka Metropolitan Police’s Tejgaon Division. He said Imam confessed during primary interrogation that members of a rival group opened fire on Palash over a conflict linked to establishing supremacy in the area. Imam was allegedly riding one of two motorcycles used by the attackers, which has since been seized. According to police, the attack took place near Ekramunnesa Girls’ High School beside Rampura Bridge on Friday afternoon when Palash was returning home after offering Juma prayers. Quoting witnesses, police said a gunman shot Palash and fled on a motorcycle while firing blank rounds to create panic. Palash sustained two bullet wounds to the head and was admitted to Dhaka Medical College Hospital in critical condition. Palash, 50, was released from prison a little over a month ago after serving around 24 years in jail. He was earlier sentenced to death in 2002 for the murder of a Jubo Dal leader in Rampura, a verdict later commuted to life imprisonment by the High Court. DC Mizan said drives are ongoing to arrest the remaining suspects involved in the attack. Investigators are looking into whether the shooting was linked to past enmity or a turf war over local business interests. Law enforcement officials noted that attacks on top criminals by underworld rivals have seen a rise since the political changeover on August 5, 2024. These incidents indicate a resurgence of gang leaders released from prison, leading to recent violent conflicts that have claimed the lives of several other listed criminals, including Tariq Saif Mamun and Khandokar Noyeem Ahmed Titon.",2026-06-12T08:00:00,"14 June 2026, 0:00 AM",2026-06-12T08:00:00
Daily Star,https://www.thedailystar.net/news/crime-justice/news/ex-brur-vc-kalimullah-secures-permanent-bail-graft-case-4198426,Ex-BRUR VC Kalimullah secures permanent bail in graft case,"The High Court today granted permanent bail to detained Professor Nazmul Ahsan Kalimullah, former vice-chancellor of Begum Rokeya University, Rangpur (BRUR), in a corruption case filed by the Anti-Corruption Commission (ACC). The High Court bench of Justice Md Atowar Rahman and Justice Biswajit Debnath delivered the verdict following a bail petition filed by Kalimulla. The bench asked Kalimullah to submit his passport along with the bail bond to the lower court concerned in connection with the case. There is no legal bar to Prof Kalimullah being released from jail following the High Court judgment, his lawyer Syed Mamun Mahbub told The Daily Star. Senior lawyers Md Fazlur Rahman, AM Mahbub Uddin Khokon, Syed Mamun Mahbub and Advocate Kazi Ahsan Habib appeared for the bail petitioner, while Advocate Khan Md Moinul Hasan Lipon represented the ACC. Attorney General Md Ruhul Quddus Kazal appeared for the state. Earlier, on August 6, 2025, Kalimullah was arrested by the Detective Branch (DB) of the Dhaka Metropolitan Police from a residence in Mohammadpur. He was subsequently placed on a five-day remand in connection with the case. After a metropolitan special judge's court rejected his bail petition on September 4 last year, he sought bail from the High Court. The case was filed on June 6 last year by Minhaz Bin Islam, then assistant director of the ACC's Integrated District Office Dhaka-1, against Kalimullah and four others over alleged irregularities in a special development project at the university. According to the allegations, nearly Tk 4 crore was misappropriated through irregularities in the construction of Sheikh Hasina Hall and the Dr Wazed Miah Research and Training Institute building under the project.",2026-06-12T08:00:00,"14 June 2026, 0:00 AM",2026-06-12T08:00:00
Daily Star,https://www.thedailystar.net/news/crime-justice/news/ramisa-rape-murder-sohel-swapna-challenge-death-penalty-4198421,"Ramisa rape-murder: Sohel, Swapna challenge death penalty","The High Court today admitted for hearing the appeals filed by death-row convicts Sohel Rana and his wife, Swapna Khatun, challenging the trial court verdict in the Ramisa Akter rape and murder case . The High Court bench of Justice Mohammad Ali and Justice Md Saiful Islam passed the order after the appeals, filed through the jail authorities, were included in its cause list. The court will hear the appeals along with the death reference in the case after the completion of relevant procedures, Deputy Attorney General Mehedi Hasan told The Daily Star. Attorney General Md Ruhul Quddus Kazal represented the state during the proceedings. No lawyer appeared on behalf of the convicted accused. On June 7, the Women and Children Repression Prevention Tribunal in Dhaka sentenced prime accused Sohel Rana to death for the rape and murder of Ramisa and sentenced his wife, Swapna Khatun, to death for assisting him in the crime. The tribunal also fined Sohel Tk 5 lakh and Swapna Tk 2 lakh. The court ordered that the fines be paid to the victim's legal heirs. If the convicts fail to pay the fines, the district collectors will recover the amount by auctioning their movable and/or immovable properties and hand over the proceeds to the victim's family, according to the verdict. Ramisa, a second-grade student of Popular Model High School, was found beheaded at her neighbour Sohel's house on May 19. The following day, her father, Abdul Hannan Mollah, filed the case with Pallabi Police Station against the couple and an unidentified person.",2026-06-12T08:00:00,"14 June 2026, 0:00 AM",2026-06-12T08:00:00
Daily Star,https://www.thedailystar.net/news/crime-justice/news/ex-igp-benazir-ahmed-arrested-dubai-4198411,Ex-IGP Benazir Ahmed arrested in Dubai,"Former Inspector General of Police, Benazir Ahmed, has been arrested in Dubai by the UAE city police in connection with a case filed by the Bangladesh Anti-Corruption Commission. Talking to The Daily Star, Home Minister Salahuddin Ahmed said, “Former IGP Benazir Ahmed has been arrested in Dubai."" Dubai police arrested him with the help of Interpol in an ACC case on June 12, he said. Later at the Parliament, the minister said, ""We will take necessary actions to bring him back.” The former top cop is currently being investigated by the ACC for allegedly amassing huge wealth while in office. Benazir, who faces US sanctions over alleged involvement in extrajudicial killings during his tenure as chief of Rapid Action Battalion, is accused of using two methods to acquire land: direct intimidation and indirect pressure. The ACC has so far found that he and his family bought at least 613.41 bighas of land in different districts, including 605.77 bighas in Gopalganj and Madaripur that once belonged to members of the Hindu community. He built most of his assets, including the Savanna Eco Resort and Natural Park in his hometown of Gopalganj, during his tenure as Rab chief (January 2015–April 2020) and as police chief (April 2020–September 2022).",2026-06-12T08:00:00,"14 June 2026, 0:00 AM",2026-06-12T08:00:00
Daily Star,https://www.thedailystar.net/news/crime-justice/news/two-injured-one-bullet-wounds-khulna-mosque-attack-4198341,"Two injured, one with bullet wounds, in Khulna mosque attack","Two people were injured, one of them with bullet wounds, after unidentified assailants opened fire inside a mosque in Khulna city during Fajr prayers today. Lokman Hekim, 55, works as an oil agent at Jamuna Oil Depot suffered bullet injuries and was taken Khulna Medical College Hospital (KMCH) initially. Later, he was shifted to a hospital in Dhaka for better treatment. Another injured, Alam Sheikh, is currently undergoing treatment at KMCH. The incident took place around 5:30am inside the Jame Mosque of the West Zone Power Distribution Company on BL College Road in Daulatpur, Khulna Metropolitan Police Deputy Commissioner (North) Sudarshan Kumar Roy said. According to police, Lokman had gone to the mosque to offer Fajr prayers when the assailants opened fire on him, leaving him seriously injured. Local worshippers rescued him and took him to KMCH. As his condition deteriorated, he was later transferred to Dhaka for advanced treatment. The police official said CCTV footage showed two helmet-wearing individuals on a motorcycle near the scene. ""We are examining more footage. The motive behind the shooting is still unknown,"" Deputy Commissioner Sudarshan Kumar Roy said.",2026-06-12T08:00:00,"14 June 2026, 0:00 AM",2026-06-12T08:00:00
Daily Star,https://www.thedailystar.net/news/crime-justice/news/idols-hindu-deities-vandalised-three-temples-bogura-4198316,Idols of Hindu deities vandalised at three temples in Bogura,"Miscreants vandalised at least four to five idols of Hindu deities at three temples in Kanachgari area under the newly formed Mokamtala upazila of Bogura. The attacks took place at the Kanachgari Shiva Temple, Shitala Temple and Mahashmashan Temple sometime on Friday night, according to temple committee sources. Devotees discovered the damaged idols around 12:00pm yesterday when they arrived to perform regular religious rituals and immediately informed the local administration. Md Shahinuzzaman, officer-in-charge of Shibganj Police Station, confirmed the incidents. Upon receiving the information, Shibganj Upazila Nirbahi Officer (UNO) Md Ziaur Rahman visited the sites yesterday. “No one could pinpoint the exact time of the vandalism. The administration is investigating the matter. The culprits managed to carry out the act easily because the temples are located outside the main locality,” he told The Daily Star. He said necessary action would be taken following the investigation. The OC said the three temples are situated away from the village, near a crematorium and in open fields. “Looking at the idols, it appears they were vandalised a few days ago, and the villagers noticed it later,” he said. Police have begun investigating the incidents but have not yet received any written complaint. “Legal action will be taken once a written complaint is filed,” the OC added.",2026-06-12T08:00:00,"14 June 2026, 0:00 AM",2026-06-12T08:00:00
Daily Star,https://www.thedailystar.net/news/crime-justice/news/mother-teenage-daughter-stabbed-death-chattogram-house-4198301,"Mother, teenage daughter stabbed to death in Chattogram house","A woman and her teenage daughter were stabbed to death at their residence in Anwara upazila of Chattogram late last night. The victims were identified as Ani Barua, 40, and her daughter Priyonti Barua, 16, police said. Anwara Police Station Officer-in-Charge Junayet Chowdhury said unidentified assailants attacked the mother and daughter with sharp weapons inside their house in the Chenamati area around 11:30pm. They succumbed to their injuries on the way to hospital, the OC. Police rushed to the scene after receiving information about the incident. ""A dispute over financial transactions involving the victim's husband and a relative has emerged as a possible motive behind the killing. However, we are investigating all information,"" the OC said. Police said the bodies were sent to Chattogram Medical College Hospital (CMCH) morgue for autopsy.",2026-06-12T08:00:00,"14 June 2026, 0:00 AM",2026-06-12T08:00:00
Daily Star,https://www.thedailystar.net/news/crime-justice/news/shibir-leader-held-rape-forced-abortion-case-4198196,"Shibir leader held in rape, forced abortion case","Police have arrested four people, including a leader of Islami Chhatra Shibir, in a case filed over the rape of a woman and allegedly forcing her to undergo an abortion in Cumilla. The arrested Shibir leader is Jisan Mia Pradhan, 28, now expelled central assistant secretary for international affairs, said Cumilla Superintendent of Police Md Anisuzzaman yesterday. Another arrestee is Jisan’s cousin Sajib, while the identities of the two others could not be known immediately. On June 12, Jisan’s family filed a general diary with Daudkandi Model Police Station, claiming that he had been missing since 8:30pm on Thursday. A police investigation found that Jisan went into hiding after a woman he knew brought allegations of rape and forced abortion against him, added the SP. Meanwhile, the woman filed a case against Jisan as the prime accused, bringing allegations of rape, abetment of rape, forced abortion and criminal intimidation. Islami Chhatra Shibir Central Committee relieved Jisan of his post as central assistant secretary for international affairs following his arrest in the case.",2026-06-12T08:00:00,"14 June 2026, 0:00 AM",2026-06-12T08:00:00
Daily Star,https://www.thedailystar.net/news/crime-justice/news/mob-beats-man-death-barguna-4198186,Mob beats man to death in Barguna,"A man was beaten to death by a mob after he allegedly hacked a union parishad panel chairman for opposing drug trafficking in Barguna’s Sadar upazila on Friday. The deceased was identified as Ibrahim Hossain Kalu, 35, alleged leader of a group known locally as “Kalu Bahini” and a resident of Dema village in Badarkhali union, police said. The incident took place around 5:30pm on Friday in Chamily Bazar area under Badarkhali union, said Barguna Sadar Police Station Officer-in-Charge Mohammad Abdul Alim today. OC Abdul Alim said Golam Mostafa, a member and panel chairman of Badarkhali Union Parishad, had an altercation with Ibrahim Kalu, a suspected drug trader, for allegedly opposing his involvement in drug trafficking and other criminal activities in Badarkhali union and surrounding areas. On Friday afternoon, Kalu and his associates attacked Mostafa with sharp weapons centring the earlier issue, leaving him critically injured. Mostafa was first taken to Barguna General Hospital and later shifted to Sher-e-Bangla Medical College Hospital in Barishal as his condition deteriorated, he said. The attack sparked outrage among local residents. Shortly afterwards, angry locals allegedly caught Kalu and one of his associates, Tawhid, and beat them. After being informed, police rushed to the scene, rescued the two, and took them to Barguna General Hospital, where doctors declared Kalu dead, said the OC. Tawhid, who sustained serious injuries, was referred to Barishal for advanced treatment. Legal proceedings are underway, and police have launched an investigation into the incident, the OC added. Police said Kalu was accused in 13 to 14 cases, including several narcotics-related charges. He was arrested with homemade weapons in February this year and was released on bail a few days ago.",2026-06-12T08:00:00,"14 June 2026, 0:00 AM",2026-06-12T08:00:00
